CSD,BORO,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
1,M,0K,GEN ED,-,-,-,792,39,20.3
1,M,0K,CTT,-,-,-,187,9,20.8
1,M,01,GEN ED,-,-,-,662,33,20.1
1,M,01,CTT,-,-,-,208,11,18.9
1,M,01,G&T,-,-,-,25,1,25
1,M,02,GEN ED,-,-,-,560,28,20
1,M,02,CTT,-,-,-,225,12,18.8
1,M,03,GEN ED,-,-,-,678,36,18.8
1,M,03,CTT,-,-,-,131,8,16.4
1,M,04,GEN ED,-,-,-,548,29,18.9
1,M,04,CTT,-,-,-,227,12,18.9
1,M,04,G&T,-,-,-,27,1,27
1,M,05,GEN ED,-,-,-,511,21,24.3
1,M,05,CTT,-,-,-,270,12,22.5
1,M,05,G&T,-,-,-,25,1,25
1,M,06,GEN ED,-,-,-,607,31,19.6
1,M,06,CTT,-,-,-,207,9,23
1,M,07,GEN ED,-,-,-,577,30,19.2
1,M,07,CTT,-,-,-,166,8,20.8
1,M,08,GEN ED,-,-,-,652,31,21
1,M,08,CTT,-,-,-,158,7,22.6
1,M,08,G&T,-,-,-,58,4,14.5
1,M,0K-09,SPEC ED,-,-,12:1,179,20,9
1,M,0K-09,SPEC ED,-,-,12:1:1,268,30,8.9
1,M,MS Core,GEN ED,ENGLISH,MS English Core,-,811,32,25.3
1,M,MS Core,GEN ED,MATH,MS Math Core,-,882,38,23.2
1,M,MS Core,GEN ED,MATH,Integrated Algebra,-,144,6,24
1,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,877,37,23.7
1,M,MS Core,GEN ED,SCIENCE,Living Environment,-,103,4,25.8
1,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,783,33,23.7
1,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,59,2,29.5
1,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,36,2,18
1,M,MS Core,GEN ED,SOCIAL STUDIES,Participation in Government,-,26,1,26
1,M,MS Core,CTT,ENGLISH,MS English Core,-,321,13,24.7
1,M,MS Core,CTT,MATH,MS Math Core,-,428,19,22.5
1,M,MS Core,CTT,SCIENCE,MS Science Core,-,445,20,22.3
1,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,368,16,23
1,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,52,5,10.4
1,M,MS Core,SPEC ED,MATH,MS Math Core,-,67,6,11.2
1,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,67,6,11.2
1,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,45,4,11.3
1,M,09-12,GEN ED,ENGLISH,English 9,-,847,38,22.3
1,M,09-12,GEN ED,ENGLISH,English 10,-,1010,44,23
1,M,09-12,GEN ED,ENGLISH,English 11,-,615,27,22.8
1,M,09-12,GEN ED,ENGLISH,English 12,-,631,30,21
1,M,09-12,GEN ED,ENGLISH,MS English Core,-,20,1,20
1,M,09-12,GEN ED,ENGLISH,Other English,-,457,22,20.8
1,M,09-12,GEN ED,MATH,Integrated Algebra,-,807,34,23.7
1,M,09-12,GEN ED,MATH,Geometry,-,698,28,24.9
1,M,09-12,GEN ED,MATH,Trigonometry,-,572,23,24.9
1,M,09-12,GEN ED,MATH,Math A,-,183,8,22.9
1,M,09-12,GEN ED,MATH,Math B,-,96,5,19.2
1,M,09-12,GEN ED,MATH,Other Math,-,477,22,21.7
1,M,09-12,GEN ED,SCIENCE,Earth Science,-,574,23,25
1,M,09-12,GEN ED,SCIENCE,Living Environment,-,888,36,24.7
1,M,09-12,GEN ED,SCIENCE,Chemistry,-,851,39,21.8
1,M,09-12,GEN ED,SCIENCE,Physics,-,726,34,21.4
1,M,09-12,GEN ED,SCIENCE,Other Science,-,922,43,21.4
1,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,1482,65,22.8
1,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,1019,43,23.7
1,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,258,10,25.8
1,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,335,14,23.9
1,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,358,18,19.9
1,M,09-12,CTT,ENGLISH,English 9,-,103,4,25.8
1,M,09-12,CTT,ENGLISH,English 10,-,52,2,26
1,M,09-12,CTT,ENGLISH,English 11,-,48,2,24
1,M,09-12,CTT,ENGLISH,English 12,-,42,2,21
1,M,09-12,CTT,ENGLISH,MS English Core,-,22,1,22
1,M,09-12,CTT,ENGLISH,Other English,-,22,1,22
1,M,09-12,CTT,MATH,Integrated Algebra,-,165,7,23.6
1,M,09-12,CTT,MATH,Geometry,-,103,4,25.8
1,M,09-12,CTT,MATH,Trigonometry,-,67,3,22.3
1,M,09-12,CTT,MATH,Other Math,-,26,1,26
1,M,09-12,CTT,SCIENCE,Earth Science,-,232,8,29
1,M,09-12,CTT,SCIENCE,Living Environment,-,549,20,27.5
1,M,09-12,CTT,SCIENCE,Chemistry,-,140,6,23.3
1,M,09-12,CTT,SCIENCE,Other Science,-,186,8,23.3
1,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,352,13,27.1
1,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,179,8,22.4
1,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,95,4,23.8
1,M,09-12,SPEC ED,ENGLISH,English 9,-,21,2,10.5
1,M,09-12,SPEC ED,ENGLISH,English 11,-,8,1,8
